iter	MAE
0	6865539.451
1	6727429.243
2	6589151.209
3	6486486.224
4	6390927.619
5	6275722.713
6	6182690.134
7	6083224.691
8	5986300.863
9	5921448.113
10	5838428.77
11	5762198.362
12	5693644.397
13	5636372.733
14	5583816.641
15	5527725.465
16	5476050.57
17	5434337.151
18	5388454.703
19	5354949.229
20	5319276.309
21	5281824.134
22	5243947.664
23	5212396.428
24	5181298.052
25	5160104.668
26	5129896.912
27	5102746.209
28	5084076.634
29	5062533.298
30	5042058.554
31	5019396.789
32	5002077.368
33	4992205.576
34	4971724.43
35	4952768.633
36	4934265.409
37	4920173.849
38	4902060.469
39	4891131.397
40	4873457.111
41	4858700.398
42	4847209.379
43	4834389.036
44	4823499.678
45	4808315.314
46	4795355.364
47	4780203.767
48	4768043.184
49	4762677.406
50	4756883.055
51	4747460.354
52	4736202.44
53	4730283.164
54	4723668.557
55	4717863.046
56	4710231.026
57	4704557.738
58	4699288.076
59	4693161.655
60	4684345.434
61	4678483.491
62	4674960.586
63	4669973.184
64	4662274.478
65	4653002.188
66	4647586.07
67	4640243.661
68	4632174.345
69	4627114.28
70	4622678.268
71	4618015.608
72	4613184.037
73	4609133.331
74	4605318.9
75	4594216.554
76	4588572.982
77	4584436.597
78	4577747.467
79	4574672.561
80	4570584.476
81	4564600.541
82	4561007.573
83	4556534.934
84	4550364.717
85	4544768.327
86	4538969.142
87	4532674.581
88	4530435.844
89	4525651.898
90	4521700.162
91	4517183.595
92	4511450.647
93	4507004.224
94	4503139.805
95	4498023.288
96	4492981.765
97	4492014.122
98	4491406.686
99	4488298.845
100	4485787.694
101	4484980.181
102	4477597.144
103	4475598.03
104	4473342.434
105	4470661.915
106	4469382.365
107	4464745.26
108	4460258.78
109	4458921.744
110	4454954.063
111	4452435.244
112	4451003.28
113	4450063.435
114	4447605.081
115	4446929.856
116	4445920.818
117	4443561.965
118	4439687.014
119	4438038.436
120	4432097.764
121	4427198.318
122	4425956.415
123	4422065.233
124	4419146.918
125	4417467.482
126	4415040.816
127	4413102.681
128	4411116.065
129	4410050.452
130	4405112.581
131	4398083.023
132	4395341.012
133	4390386.583
134	4387937.597
135	4386028.533
136	4385172.721
137	4381368.779
138	4378756.298
139	4374655.429
140	4372307.711
141	4370568.258
142	4369375.104
143	4368500.776
144	4367113.379
145	4364969.782
146	4361588.147
147	4357718.52
148	4355804.482
149	4354216.811
150	4350858.64
151	4350072.213
152	4345184.847
153	4344007.502
154	4341790.837
155	4339972.325
156	4335580.031
157	4333916.566
158	4331199.355
159	4329016.756
160	4326436.44
161	4323644.106
162	4321411.106
163	4319108.9
164	4317068.86
165	4315532.673
166	4314873.14
167	4310945.613
168	4307735.134
169	4306488.675
170	4305584.367
171	4302732.6
172	4302239.176
173	4299980.408
174	4298902.5
175	4296688.183
176	4290988.383
177	4287356.703
178	4285404.38
179	4283657.185
180	4283249.299
181	4281487.352
182	4277694.411
183	4276617.459
184	4273475.53
185	4270304.947
186	4269138.469
187	4265187.812
188	4263856.102
189	4260329.412
190	4258439.458
191	4257714.977
192	4254990.231
193	4253889.411
194	4251445.717
195	4248404.87
196	4246444.942
197	4244868.935
198	4241937.47
199	4240480.552
200	4236483.591
201	4235576.065
202	4234911.882
203	4234564.287
204	4232299.557
205	4231843.217
206	4230595.335
207	4228030.923
208	4227652.235
209	4226470.35
210	4224687.904
211	4222628.882
212	4221780.052
213	4221358.919
214	4220722.332
215	4219252.234
216	4215577.731
217	4214616.653
218	4212528.397
219	4211194.995
220	4210646.677
221	4208838.938
222	4208047.532
223	4207096.712
224	4206015.956
225	4204077.036
226	4203430.636
227	4202171.61
228	4200251.963
229	4198850.886
230	4197897.597
231	4197032.795
232	4194867.11
233	4192161.168
234	4190265.611
235	4189575.418
236	4189244.258
237	4186255.773
238	4184338.183
239	4183746.463
240	4182049.322
241	4179948.847
242	4176219.338
243	4175027.656
244	4173994.475
245	4171292.827
246	4169721.53
247	4167841.943
248	4167258.662
249	4165799.469
250	4162629.008
251	4162112.679
252	4161173.291
253	4159343.182
254	4157758.324
