iter	Passed	Remaining
0	5	10267
1	9	9676
2	15	10252
3	21	10498
4	26	10695
5	32	10848
6	38	10874
7	43	10744
8	48	10693
9	53	10567
10	58	10562
11	63	10513
12	68	10441
13	73	10413
14	78	10347
15	83	10313
16	88	10271
17	92	10227
18	97	10188
19	102	10157
20	107	10096
21	112	10080
22	116	10033
23	121	10019
24	126	9975
25	131	9975
26	136	9955
27	140	9923
28	145	9905
29	150	9903
30	155	9894
31	160	9869
32	165	9858
33	169	9779
34	174	9814
35	180	9858
36	186	9897
37	193	9972
38	200	10060
39	220	10789
40	224	10747
41	230	10726
42	234	10693
43	239	10649
44	244	10622
45	249	10585
46	253	10553
47	258	10525
48	263	10507
49	268	10472
50	273	10452
51	278	10422
52	283	10399
53	287	10370
54	292	10349
55	297	10319
56	302	10316
57	307	10295
58	312	10272
59	317	10262
60	322	10244
61	327	10222
62	331	10206
63	336	10191
64	345	10282
65	351	10293
66	356	10297
67	362	10307
68	370	10380
69	376	10378
70	381	10360
71	386	10352
72	391	10338
73	396	10319
74	401	10316
75	406	10298
76	411	10279
77	424	10451
78	428	10429
79	433	10408
80	438	10393
81	443	10375
82	448	10349
83	452	10326
84	457	10308
85	462	10285
86	466	10263
87	471	10244
88	475	10216
89	480	10199
90	485	10182
91	490	10172
92	495	10150
93	499	10131
94	505	10128
95	510	10120
96	517	10144
97	522	10148
98	526	10109
99	532	10108
100	537	10107
101	545	10141
102	551	10150
103	556	10138
104	560	10123
105	565	10106
106	570	10087
107	589	10335
108	594	10319
109	599	10299
110	604	10283
111	609	10267
112	613	10249
113	618	10230
114	623	10214
115	626	10170
116	630	10151
117	635	10134
118	640	10118
119	645	10105
120	649	10092
121	654	10077
122	659	10062
123	663	10045
124	668	10032
125	673	10022
126	678	10005
127	683	9991
128	689	10000
129	695	10002
130	701	10001
131	706	9997
132	712	10002
133	721	10048
134	731	10110
135	737	10110
136	743	10113
137	749	10111
138	759	10171
139	773	10277
140	778	10262
141	783	10253
142	788	10237
143	792	10219
144	797	10199
145	806	10241
146	811	10226
